[rosout][INFO] 2017-09-22 14:42:30,240: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.443867
[rosout][INFO] 2017-09-22 14:42:30,241: Throttle_brake -> 46.009740, Throttle --> 46.009740, Brake -> 0.000000, Steer -> 2.219334
[rosout][INFO] 2017-09-22 14:42:30,261: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.443867
[rosout][INFO] 2017-09-22 14:42:30,261: Throttle_brake -> 15.050385, Throttle --> 15.050385, Brake -> 0.000000, Steer -> 2.219334
[rosout][INFO] 2017-09-22 14:42:30,281: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.443867
[rosout][INFO] 2017-09-22 14:42:30,281: Throttle_brake -> 15.101065, Throttle --> 15.101065, Brake -> 0.000000, Steer -> 2.219334
[rosout][INFO] 2017-09-22 14:42:30,301: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.443867
[rosout][INFO] 2017-09-22 14:42:30,301: Throttle_brake -> 15.151140, Throttle --> 15.151140, Brake -> 0.000000, Steer -> 2.219334
[rosout][INFO] 2017-09-22 14:42:30,321: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.443867
[rosout][INFO] 2017-09-22 14:42:30,321: Throttle_brake -> 15.200902, Throttle --> 15.200902, Brake -> 0.000000, Steer -> 2.219334
[rosout][INFO] 2017-09-22 14:42:30,340: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.443867
[rosout][INFO] 2017-09-22 14:42:30,341: Throttle_brake -> 15.251050, Throttle --> 15.251050, Brake -> 0.000000, Steer -> 2.219334
[rosout][INFO] 2017-09-22 14:42:30,360: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.443867
[rosout][INFO] 2017-09-22 14:42:30,361: Throttle_brake -> 15.299917, Throttle --> 15.299917, Brake -> 0.000000, Steer -> 2.219334
[rosout][INFO] 2017-09-22 14:42:30,380: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.443867
[rosout][INFO] 2017-09-22 14:42:30,381: Throttle_brake -> 15.350382, Throttle --> 15.350382, Brake -> 0.000000, Steer -> 2.219334
[rosout][INFO] 2017-09-22 14:42:30,401: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.443867
