[rosout][INFO] 2017-09-22 14:45:53,595: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:45:53,595: Throttle_brake -> 45.809292, Throttle --> 45.809292, Brake -> 0.000000, Steer -> 1.109917
[rosout][INFO] 2017-09-22 14:45:53,615: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:45:53,615: Throttle_brake -> 15.050713, Throttle --> 15.050713, Brake -> 0.000000, Steer -> 1.109917
[rosout][INFO] 2017-09-22 14:45:53,635: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:45:53,636: Throttle_brake -> 15.100678, Throttle --> 15.100678, Brake -> 0.000000, Steer -> 1.109917
[rosout][INFO] 2017-09-22 14:45:53,657: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:45:53,667: Throttle_brake -> 15.151955, Throttle --> 15.151955, Brake -> 0.000000, Steer -> 1.109917
[rosout][INFO] 2017-09-22 14:45:53,675: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:45:53,675: Throttle_brake -> 15.205673, Throttle --> 15.205673, Brake -> 0.000000, Steer -> 1.109917
[rosout][INFO] 2017-09-22 14:45:53,695: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:45:53,695: Throttle_brake -> 15.250764, Throttle --> 15.250764, Brake -> 0.000000, Steer -> 1.109917
[rosout][INFO] 2017-09-22 14:45:53,715: SpeedCurrent -> 0.172740, SpeedTarget --> 5.000000, SteerCurrent -> 1.548237, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:45:53,715: Throttle_brake -> 13.700742, Throttle --> 13.700742, Brake -> 0.000000, Steer -> 0.626093
[rosout][INFO] 2017-09-22 14:45:53,735: SpeedCurrent -> 0.172740, SpeedTarget --> 5.000000, SteerCurrent -> 1.548237, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:45:53,736: Throttle_brake -> 14.830595, Throttle --> 14.830595, Brake -> 0.000000, Steer -> -0.099643
[rosout][INFO] 2017-09-22 14:45:53,755: SpeedCurrent -> 0.172740, SpeedTarget --> 5.000000, SteerCurrent -> 1.548237, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:45:53,755: Throttle_brake -> 14.880502, Throttle --> 14.880502, Brake -> 0.000000, Steer -> -0.916097
[rosout][INFO] 2017-09-22 14:45:53,775: SpeedCurrent -> 0.172740, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
[rosout][INFO] 2017-09-22 14:45:53,775: Throttle_brake -> 14.927353, Throttle --> 14.927353, Brake -> 0.000000, Steer -> -1.248726
[rosout][INFO] 2017-09-22 14:45:53,795: SpeedCurrent -> 0.172740, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.221983
