[rosout][INFO] 2017-09-22 14:54:30,666: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,666: Throttle_brake -> 46.100979, Throttle --> 46.100979, Brake -> 0.000000, Steer -> 1.331102
[rosout][INFO] 2017-09-22 14:54:30,685: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,686: Throttle_brake -> 15.050237, Throttle --> 15.050237, Brake -> 0.000000, Steer -> 1.331102
[rosout][INFO] 2017-09-22 14:54:30,706: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,706: Throttle_brake -> 15.100210, Throttle --> 15.100210, Brake -> 0.000000, Steer -> 1.331102
[rosout][INFO] 2017-09-22 14:54:30,726: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,726: Throttle_brake -> 15.151347, Throttle --> 15.151347, Brake -> 0.000000, Steer -> 1.331102
[rosout][INFO] 2017-09-22 14:54:30,745: SpeedCurrent -> 0.000001, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,747: Throttle_brake -> 15.200960, Throttle --> 15.200960, Brake -> 0.000000, Steer -> 1.331102
[rosout][INFO] 2017-09-22 14:54:30,765: SpeedCurrent -> 0.377063, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,765: Throttle_brake -> 11.752805, Throttle --> 11.752805, Brake -> 0.000000, Steer -> 1.331102
[rosout][INFO] 2017-09-22 14:54:30,785: SpeedCurrent -> 0.426094, SpeedTarget --> 5.000000, SteerCurrent -> 0.802253, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,787: Throttle_brake -> 13.716531, Throttle --> 13.716531, Brake -> 0.000000, Steer -> 1.230820
[rosout][INFO] 2017-09-22 14:54:30,805: SpeedCurrent -> 0.426094, SpeedTarget --> 5.000000, SteerCurrent -> 0.802253, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,806: Throttle_brake -> 14.063780, Throttle --> 14.063780, Brake -> 0.000000, Steer -> 1.080398
[rosout][INFO] 2017-09-22 14:54:30,826: SpeedCurrent -> 0.426094, SpeedTarget --> 5.000000, SteerCurrent -> 0.802253, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,826: Throttle_brake -> 14.108709, Throttle --> 14.108709, Brake -> 0.000000, Steer -> 0.911173
[rosout][INFO] 2017-09-22 14:54:30,846: SpeedCurrent -> 0.426094, SpeedTarget --> 5.000000, SteerCurrent -> 0.802253, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,846: Throttle_brake -> 14.155499, Throttle --> 14.155499, Brake -> 0.000000, Steer -> 0.741947
[rosout][INFO] 2017-09-22 14:54:30,865: SpeedCurrent -> 0.813394, SpeedTarget --> 5.000000, SteerCurrent -> 3.513910, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,866: Throttle_brake -> 10.606957, Throttle --> 10.606957, Brake -> 0.000000, Steer -> 0.244342
[rosout][INFO] 2017-09-22 14:54:30,886: SpeedCurrent -> 0.813394, SpeedTarget --> 5.000000, SteerCurrent -> 3.513910, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,886: Throttle_brake -> 13.081021, Throttle --> 13.081021, Brake -> 0.000000, Steer -> -0.406878
[rosout][INFO] 2017-09-22 14:54:30,905: SpeedCurrent -> 0.825789, SpeedTarget --> 5.000000, SteerCurrent -> 0.662089, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,906: Throttle_brake -> 13.008152, Throttle --> 13.008152, Brake -> 0.000000, Steer -> -0.747326
[rosout][INFO] 2017-09-22 14:54:30,925: SpeedCurrent -> 0.825789, SpeedTarget --> 5.000000, SteerCurrent -> 0.662089, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,926: Throttle_brake -> 13.127435, Throttle --> 13.127435, Brake -> 0.000000, Steer -> -0.891688
[rosout][INFO] 2017-09-22 14:54:30,945: SpeedCurrent -> 0.825789, SpeedTarget --> 5.000000, SteerCurrent -> 0.662089, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,946: Throttle_brake -> 13.168651, Throttle --> 13.168651, Brake -> 0.000000, Steer -> -0.916728
[rosout][INFO] 2017-09-22 14:54:30,965: SpeedCurrent -> 1.124138, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,966: Throttle_brake -> 10.480371, Throttle --> 10.480371, Brake -> 0.000000, Steer -> -0.790324
[rosout][INFO] 2017-09-22 14:54:30,985: SpeedCurrent -> 1.229014, SpeedTarget --> 5.000000, SteerCurrent -> -0.827402, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:30,985: Throttle_brake -> 11.368682, Throttle --> 11.368682, Brake -> 0.000000, Steer -> -0.483207
[rosout][INFO] 2017-09-22 14:54:31,006: SpeedCurrent -> 1.232648, SpeedTarget --> 5.000000, SteerCurrent -> -0.734492, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,006: Throttle_brake -> 12.043743, Throttle --> 12.043743, Brake -> 0.000000, Steer -> -0.105248
[rosout][INFO] 2017-09-22 14:54:31,026: SpeedCurrent -> 1.232648, SpeedTarget --> 5.000000, SteerCurrent -> -0.734492, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,027: Throttle_brake -> 12.104495, Throttle --> 12.104495, Brake -> 0.000000, Steer -> 0.288937
[rosout][INFO] 2017-09-22 14:54:31,046: SpeedCurrent -> 1.232648, SpeedTarget --> 5.000000, SteerCurrent -> -0.734492, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,046: Throttle_brake -> 12.143421, Throttle --> 12.143421, Brake -> 0.000000, Steer -> 0.667613
[rosout][INFO] 2017-09-22 14:54:31,065: SpeedCurrent -> 1.534973, SpeedTarget --> 5.000000, SteerCurrent -> -8.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,065: Throttle_brake -> 9.287667, Throttle --> 9.287667, Brake -> 0.000000, Steer -> 1.922086
[rosout][INFO] 2017-09-22 14:54:31,085: SpeedCurrent -> 1.640075, SpeedTarget --> 5.000000, SteerCurrent -> -0.742458, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,086: Throttle_brake -> 10.338910, Throttle --> 10.338910, Brake -> 0.000000, Steer -> 2.683598
[rosout][INFO] 2017-09-22 14:54:31,105: SpeedCurrent -> 1.640075, SpeedTarget --> 5.000000, SteerCurrent -> -0.742458, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,106: Throttle_brake -> 11.025215, Throttle --> 11.025215, Brake -> 0.000000, Steer -> 3.120225
[rosout][INFO] 2017-09-22 14:54:31,125: SpeedCurrent -> 1.640075, SpeedTarget --> 5.000000, SteerCurrent -> -0.742458, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,126: Throttle_brake -> 11.059412, Throttle --> 11.059412, Brake -> 0.000000, Steer -> 3.346815
[rosout][INFO] 2017-09-22 14:54:31,145: SpeedCurrent -> 1.842113, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,146: Throttle_brake -> 9.224178, Throttle --> 9.224178, Brake -> 0.000000, Steer -> 3.348289
[rosout][INFO] 2017-09-22 14:54:31,165: SpeedCurrent -> 2.048626, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,166: Throttle_brake -> 8.629823, Throttle --> 8.629823, Brake -> 0.000000, Steer -> 3.223045
[rosout][INFO] 2017-09-22 14:54:31,185: SpeedCurrent -> 2.058379, SpeedTarget --> 5.000000, SteerCurrent -> 1.702558, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,185: Throttle_brake -> 9.836724, Throttle --> 9.836724, Brake -> 0.000000, Steer -> 2.821528
[rosout][INFO] 2017-09-22 14:54:31,205: SpeedCurrent -> 2.058379, SpeedTarget --> 5.000000, SteerCurrent -> 1.702558, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,206: Throttle_brake -> 9.927816, Throttle --> 9.927816, Brake -> 0.000000, Steer -> 2.289704
[rosout][INFO] 2017-09-22 14:54:31,225: SpeedCurrent -> 2.058379, SpeedTarget --> 5.000000, SteerCurrent -> 1.702558, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,225: Throttle_brake -> 9.957932, Throttle --> 9.957932, Brake -> 0.000000, Steer -> 1.717820
[rosout][INFO] 2017-09-22 14:54:31,246: SpeedCurrent -> 2.058379, SpeedTarget --> 5.000000, SteerCurrent -> 1.702558, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,246: Throttle_brake -> 9.986735, Throttle --> 9.986735, Brake -> 0.000000, Steer -> 1.159146
[rosout][INFO] 2017-09-22 14:54:31,265: SpeedCurrent -> 2.036057, SpeedTarget --> 5.000000, SteerCurrent -> 6.365887, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,265: Throttle_brake -> 10.227863, Throttle --> 10.227863, Brake -> 0.000000, Steer -> 0.059903
[rosout][INFO] 2017-09-22 14:54:31,285: SpeedCurrent -> 2.036057, SpeedTarget --> 5.000000, SteerCurrent -> 6.365887, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,286: Throttle_brake -> 10.112765, Throttle --> 10.112765, Brake -> 0.000000, Steer -> -1.274707
[rosout][INFO] 2017-09-22 14:54:31,306: SpeedCurrent -> 2.030976, SpeedTarget --> 5.000000, SteerCurrent -> 1.425449, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,306: Throttle_brake -> 10.189969, Throttle --> 10.189969, Brake -> 0.000000, Steer -> -2.040743
[rosout][INFO] 2017-09-22 14:54:31,325: SpeedCurrent -> 2.030976, SpeedTarget --> 5.000000, SteerCurrent -> 1.425449, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,326: Throttle_brake -> 10.188009, Throttle --> 10.188009, Brake -> 0.000000, Steer -> -2.439079
[rosout][INFO] 2017-09-22 14:54:31,346: SpeedCurrent -> 2.030976, SpeedTarget --> 5.000000, SteerCurrent -> 1.425449, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,346: Throttle_brake -> 10.217159, Throttle --> 10.217159, Brake -> 0.000000, Steer -> -2.605688
[rosout][INFO] 2017-09-22 14:54:31,366: SpeedCurrent -> 2.001857, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,366: Throttle_brake -> 10.521745, Throttle --> 10.521745, Brake -> 0.000000, Steer -> -2.453356
[rosout][INFO] 2017-09-22 14:54:31,385: SpeedCurrent -> 1.996648, SpeedTarget --> 5.000000, SteerCurrent -> -3.899124, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,385: Throttle_brake -> 10.413817, Throttle --> 10.413817, Brake -> 0.000000, Steer -> -1.643750
[rosout][INFO] 2017-09-22 14:54:31,405: SpeedCurrent -> 2.178707, SpeedTarget --> 5.000000, SteerCurrent -> -1.886985, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,406: Throttle_brake -> 8.747190, Throttle --> 8.747190, Brake -> 0.000000, Steer -> -0.766546
[rosout][INFO] 2017-09-22 14:54:31,425: SpeedCurrent -> 2.178707, SpeedTarget --> 5.000000, SteerCurrent -> -1.886985, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,426: Throttle_brake -> 9.892273, Throttle --> 9.892273, Brake -> 0.000000, Steer -> 0.093858
[rosout][INFO] 2017-09-22 14:54:31,446: SpeedCurrent -> 2.178707, SpeedTarget --> 5.000000, SteerCurrent -> -1.886985, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,446: Throttle_brake -> 9.919943, Throttle --> 9.919943, Brake -> 0.000000, Steer -> 0.891036
[rosout][INFO] 2017-09-22 14:54:31,465: SpeedCurrent -> 2.178707, SpeedTarget --> 5.000000, SteerCurrent -> -1.886985, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,466: Throttle_brake -> 9.949469, Throttle --> 9.949469, Brake -> 0.000000, Steer -> 1.602826
[rosout][INFO] 2017-09-22 14:54:31,485: SpeedCurrent -> 2.180443, SpeedTarget --> 5.000000, SteerCurrent -> -5.778723, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,485: Throttle_brake -> 9.960446, Throttle --> 9.960446, Brake -> 0.000000, Steer -> 2.708565
[rosout][INFO] 2017-09-22 14:54:31,506: SpeedCurrent -> 2.180443, SpeedTarget --> 5.000000, SteerCurrent -> -5.778723, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,506: Throttle_brake -> 9.999319, Throttle --> 9.999319, Brake -> 0.000000, Steer -> 3.966793
[rosout][INFO] 2017-09-22 14:54:31,526: SpeedCurrent -> 2.180443, SpeedTarget --> 5.000000, SteerCurrent -> -5.778723, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,526: Throttle_brake -> 10.028273, Throttle --> 10.028273, Brake -> 0.000000, Steer -> 5.232155
[rosout][INFO] 2017-09-22 14:54:31,545: SpeedCurrent -> 2.180443, SpeedTarget --> 5.000000, SteerCurrent -> -5.778723, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,546: Throttle_brake -> 10.056401, Throttle --> 10.056401, Brake -> 0.000000, Steer -> 6.422446
[rosout][INFO] 2017-09-22 14:54:31,565: SpeedCurrent -> 2.150280, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,566: Throttle_brake -> 10.362218, Throttle --> 10.362218, Brake -> 0.000000, Steer -> 6.773776
[rosout][INFO] 2017-09-22 14:54:31,586: SpeedCurrent -> 2.150280, SpeedTarget --> 5.000000, SteerCurrent -> 0.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,586: Throttle_brake -> 10.203526, Throttle --> 10.203526, Brake -> 0.000000, Steer -> 6.631232
[rosout][INFO] 2017-09-22 14:54:31,605: SpeedCurrent -> 2.134427, SpeedTarget --> 5.000000, SteerCurrent -> 8.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,605: Throttle_brake -> 10.381507, Throttle --> 10.381507, Brake -> 0.000000, Steer -> 5.219793
[rosout][INFO] 2017-09-22 14:54:31,626: SpeedCurrent -> 2.134427, SpeedTarget --> 5.000000, SteerCurrent -> 8.000000, SteerTarget --> 0.665551
[rosout][INFO] 2017-09-22 14:54:31,627: Throttle_brake -> 10.307571, Throttle --> 10.307571, Brake -> 0.000000, Steer -> 3.182815
[rosout][INFO] 2017-09-22 14:54:31,645: SpeedCurrent -> 2.134427, SpeedTarget --> 5.000000, SteerCurrent -> 8.000000, SteerTarget --> 0.665551
